ID	group	age	diet
E150030047_L01_UDB-81	G3-1	Infant	fibre
E150030047_L01_UDB-82	G3-1	Infant	fibre
E150030047_L01_UDB-83	G3-1	Infant	fibre
E150030047_L01_UDB-84	G3-1	Infant	fibre
E150030047_L01_UDB-85	G3-1	Infant	fibre
E150030047_L01_UDB-86	G3-1	Infant	fibre
E150030047_L01_UDB-87	G3-1	Infant	fibre
E150030047_L01_UDB-88	G3-1	Infant	fibre
E150030047_L01_UDB-97	G3-2	Infant	fibre
E150030047_L01_UDB-98	G3-2	Infant	fibre
E150030047_L01_UDB-99	G3-2	Infant	fibre
E150030047_L01_UDB-100	G3-2	Infant	fibre
E150030047_L01_UDB-101	G3-2	Infant	fibre
E150030047_L01_UDB-102	G3-2	Infant	fibre
E150030047_L01_UDB-103	G3-2	Infant	fibre
E150030047_L01_UDB-104	G3-2	Infant	fibre
E150030047_L01_UDB-105	G3-3	Infant	fibre
E150030047_L01_UDB-106	G3-3	Infant	fibre
E150030047_L01_UDB-107	G3-3	Infant	fibre
E150030047_L01_UDB-108	G3-3	Infant	fibre
E150030047_L01_UDB-109	G3-3	Infant	fibre
E150030047_L01_UDB-110	G3-3	Infant	fibre
E150030047_L01_UDB-111	G3-3	Infant	fibre
E150030047_L01_UDB-112	G3-3	Infant	fibre
E150030047_L01_UDB-113	G2-1	Infant	weaning
E150030047_L01_UDB-114	G2-1	Infant	weaning
E150030047_L01_UDB-115	G2-1	Infant	weaning
E150030047_L01_UDB-116	G2-1	Infant	weaning
E150030047_L01_UDB-117	G2-1	Infant	weaning
E150030047_L01_UDB-118	G2-1	Infant	weaning
E150030047_L01_UDB-119	G2-1	Infant	weaning
E150030047_L01_UDB-120	G2-1	Infant	weaning
E150030047_L01_UDB-121	G2-1	Infant	weaning
E150030047_L01_UDB-122	G2-1	Infant	weaning
E150030047_L01_UDB-123	G2-2	Infant	weaning
E150030047_L01_UDB-124	G2-2	Infant	weaning
E150030047_L01_UDB-125	G2-2	Infant	weaning
E150030047_L01_UDB-126	G2-2	Infant	weaning
E150030047_L01_UDB-127	G2-2	Infant	weaning
E150030047_L01_UDB-128	G2-2	Infant	weaning
E150030047_L01_UDB-129	G2-2	Infant	weaning
E150030047_L01_UDB-130	G2-2	Infant	weaning
E150030047_L01_UDB-131	G2-2	Infant	weaning
E150030047_L01_UDB-132	G2-2	Infant	weaning
E150030047_L01_UDB-133	G2-3	Infant	weaning
E150030047_L01_UDB-134	G2-3	Infant	weaning
E150030047_L01_UDB-135	G2-3	Infant	weaning
E150030047_L01_UDB-136	G2-3	Infant	weaning
E150030047_L01_UDB-137	G2-3	Infant	weaning
E150030047_L01_UDB-138	G2-3	Infant	weaning
E150030047_L01_UDB-139	G2-3	Infant	weaning
E150030047_L01_UDB-140	G2-3	Infant	weaning
E150030047_L01_UDB-141	G2-3	Infant	weaning
E150030047_L01_UDB-142	G2-3	Infant	weaning
E150030047_L01_UDB-143	G1-1	Infant	milk
E150030047_L01_UDB-144	G1-1	Infant	milk
E150030047_L01_UDB-145	G1-1	Infant	milk
E150030047_L01_UDB-146	G1-1	Infant	milk
E150030047_L01_UDB-147	G1-1	Infant	milk
E150030047_L01_UDB-148	G1-1	Infant	milk
E150030047_L01_UDB-149	G1-1	Infant	milk
E150030047_L01_UDB-150	G1-1	Infant	milk
E150030047_L01_UDB-151	G1-2	Infant	milk
E150030047_L01_UDB-152	G1-2	Infant	milk
E150030047_L01_UDB-153	G1-2	Infant	milk
E150030047_L01_UDB-154	G1-2	Infant	milk
E150030047_L01_UDB-155	G1-2	Infant	milk
E150030047_L01_UDB-156	G1-2	Infant	milk
E150030047_L01_UDB-157	G1-2	Infant	milk
E150030047_L01_UDB-158	G1-2	Infant	milk
E150030047_L01_UDB-159	G1-3	Infant	milk
E150030047_L01_UDB-160	G1-3	Infant	milk
E150030047_L01_UDB-161	G1-3	Infant	milk
E150030047_L01_UDB-162	G1-3	Infant	milk
E150030047_L01_UDB-163	G1-3	Infant	milk
E150030047_L01_UDB-164	G1-3	Infant	milk
E150030047_L01_UDB-165	G1-3	Infant	milk
E150030047_L01_UDB-166	G1-3	Infant	milk
E150030047_L01_UDB-167	G4-1	Mother	milk
E150030047_L01_UDB-168	G4-1	Mother	milk
E150030047_L01_UDB-169	G4-1	Mother	milk
E150030047_L01_UDB-170	G4-1	Mother	milk
E150030047_L01_UDB-171	G4-1	Mother	milk
E150030047_L01_UDB-172	G4-1	Mother	milk
E150030047_L01_UDB-173	G4-1	Mother	milk
E150030047_L01_UDB-174	G4-1	Mother	milk
E150030047_L01_UDB-175	G4-1	Mother	milk
E150030047_L01_UDB-176	G4-1	Mother	milk
E150030047_L01_UDB-177	G4-1	Mother	milk
E150030047_L01_UDB-178	G4-2	Mother	milk
E150030047_L01_UDB-179	G4-2	Mother	milk
E150030047_L01_UDB-180	G4-2	Mother	milk
E150030047_L01_UDB-181	G4-2	Mother	milk
E150030047_L01_UDB-182	G4-2	Mother	milk
E150030047_L01_UDB-183	G4-2	Mother	milk
E150030047_L01_UDB-184	G4-2	Mother	milk
E150030047_L01_UDB-185	G4-2	Mother	milk
E150030047_L01_UDB-186	G4-2	Mother	milk
E150030047_L01_UDB-187	G4-2	Mother	milk
E150030047_L01_UDB-188	G4-2	Mother	milk
E150030047_L01_UDB-189	Infant_T1	Infant	FA
E150030047_L01_UDB-190	Infant_T2	Infant	FB
E150030047_L01_UDB-191	Mother_T1	Mother	FA
E150030047_L01_UDB-192	Mother_T2	Mother	FB
